소비일자,소비업종,성별,연령대,소비건수합계
20190705,요식/유흥,여성,20대,582847
20200602,여행/교통,여성,50대,20516
20150730,교육/학원,남성,20대,5360
20200708,가전/가구,여성,50대,31094
20150608,미용,남성,20대,12756
20150507,가전/가구,남성,20대,16144
20200629,요식/유흥,여성,30대,581867
20150622,미용,여성,60대이상,8916
20150718,가전/가구,여성,20대,11208
20200528,여행/교통,남성,50대,42510
20150505,가정생활/서비스,남성,20대,256
20200722,가전/가구,여성,50대,27159
20150611,주유,여성,50대,65134
20190623,의료,여성,50대,24098
20190612,가정생활/서비스,남성,40대,4405
20190608,할인점/마트,남성,40대,959718
20150531,교육/학원,남성,30대,24427
20150626,가전/가구,여성,50대,28507
20190730,가정생활/서비스,남성,50대,2187
20190520,자동차,남성,40대,52555
20190731,주유,여성,20대,26171
20150701,가정생활/서비스,여성,20대,657
20150619,의료,남성,30대,175721
20190710,자동차,남성,60대이상,17779
20200505,주유,여성,20대,21913
20150610,미용,여성,60대이상,9310
20150729,편의점,남성,50대,93890
20150716,패션/잡화,여성,20대,37226
20150617,편의점,남성,60대이상,18168
20190607,가전/가구,여성,30대,24174
20150515,주유,여성,60대이상,22478
20200626,의료,남성,60대이상,204143
20150527,가전/가구,남성,40대,36870
20190525,교육/학원,남성,40대,71663
20190620,의료,여성,60대이상,156088
20200706,미용,남성,30대,29521
20190609,편의점,여성,50대,167608
20200517,교육/학원,남성,50대,16983
20200518,가정생활/서비스,남성,30대,2516
20150507,스포츠/문화/레저,남성,40대,68020
20190502,백화점/상품권/아울렛,여성,50대,94486
20200613,교육/학원,여성,40대,47551
20200617,교육/학원,남성,50대,22271
20150603,편의점,남성,50대,96388
20200516,가전/가구,여성,40대,39403
20200706,미용,남성,40대,32915
20200518,의료,남성,30대,258833
20190605,할인점/마트,여성,50대,579356
20190727,주유,여성,40대,104623
20190509,스포츠/문화/레저,여성,20대,37713
20200715,자동차,여성,40대,24014
20190613,패션/잡화,여성,30대,39475
20150724,요식/유흥,남성,20대,314462
20200517,자동차,남성,20대,12956
20190623,주유,남성,30대,188699
20150712,자동차,여성,30대,4679
20150705,의료,여성,30대,32686
20190713,교육/학원,남성,60대이상,5136
20190628,여행/교통,여성,40대,52257
20200510,편의점,여성,50대,134958
20150520,편의점,남성,40대,194177
20200621,스포츠/문화/레저,여성,30대,52332
20150710,가정생활/서비스,남성,60대이상,645
20200516,가정생활/서비스,여성,40대,5979
20150622,미용,남성,20대,13570
20150722,주유,남성,60대이상,55789
20150516,스포츠/문화/레저,여성,60대이상,17537
20150522,요식/유흥,남성,20대,323403
20200506,할인점/마트,남성,50대,409566
20190518,요식/유흥,여성,60대이상,216557
20150627,가정생활/서비스,남성,50대,1393
20150715,여행/교통,여성,50대,22804
20150505,의료,남성,60대이상,14125
20200729,주유,남성,40대,190079
20190618,스포츠/문화/레저,남성,20대,70724
20190713,백화점/상품권/아울렛,남성,60대이상,31399
20150723,자동차,여성,60대이상,3272
20150520,교육/학원,여성,50대,16885
20150515,주유,남성,30대,163660
20190530,가전/가구,여성,30대,21686
20190606,여행/교통,여성,50대,45259
20190701,가전/가구,남성,60대이상,24551
20190520,패션/잡화,여성,60대이상,25496
20150706,의료,여성,60대이상,86635
20150507,할인점/마트,여성,60대이상,164472
20200518,편의점,남성,40대,579668
20150704,가전/가구,여성,20대,10589
20200529,할인점/마트,남성,20대,142883
20200619,주유,남성,50대,200415
20200524,가전/가구,남성,50대,37022
20150723,할인점/마트,여성,40대,621643
20200607,가전/가구,여성,50대,23935
20200505,편의점,남성,40대,461884
20190716,요식/유흥,여성,40대,861599
20190714,미용,여성,40대,57216
20200620,요식/유흥,여성,40대,859574
20190502,교육/학원,여성,60대이상,7229
20200603,주유,여성,60대이상,32775
20150720,요식/유흥,여성,20대,362989
20150614,스포츠/문화/레저,남성,30대,119108
20200716,미용,여성,30대,44093
20150621,가정생활/서비스,남성,60대이상,229
20200629,교육/학원,여성,30대,35976
20190630,교육/학원,여성,30대,37317
20150606,의료,남성,20대,17875
20190629,할인점/마트,남성,20대,172054
20200509,주유,여성,60대이상,26831
20150725,자동차,남성,50대,21597
20190520,가전/가구,여성,30대,55766
20150506,할인점/마트,여성,20대,152751
20150706,할인점/마트,남성,50대,311191
20200628,의료,여성,40대,32736
20190729,할인점/마트,여성,40대,768763
20200504,가정생활/서비스,여성,20대,982
20150625,편의점,여성,60대이상,16972
20200521,패션/잡화,여성,60대이상,24039
20150602,스포츠/문화/레저,여성,30대,37060
20200715,자동차,여성,30대,18518
20200613,백화점/상품권/아울렛,남성,60대이상,32949
20200530,여행/교통,남성,60대이상,21693
20150714,패션/잡화,여성,50대,49797
20190730,가전/가구,남성,60대이상,24008
20150615,가정생활/서비스,남성,20대,382
20150614,자동차,여성,50대,2500
20150501,할인점/마트,여성,40대,699358
20200624,의료,여성,30대,178386
20150619,의료,남성,20대,35324
20150711,미용,여성,20대,60373
20200725,교육/학원,여성,50대,20344
20200607,교육/학원,여성,30대,23285
20200524,미용,남성,20대,26380
20150626,미용,남성,20대,15618
20190618,의료,남성,40대,287328
20190706,편의점,여성,20대,288040
20190717,편의점,여성,20대,272529
20150507,의료,여성,50대,164485
20200713,가정생활/서비스,남성,40대,2960
20150718,자동차,여성,40대,14085
20190608,패션/잡화,여성,50대,54144
20200508,여행/교통,여성,40대,28816
20190518,자동차,여성,60대이상,6785
20190627,주유,남성,50대,200385
20200714,자동차,여성,50대,21218
20190629,가정생활/서비스,남성,50대,2288
20190506,백화점/상품권/아울렛,남성,30대,174881
20200528,요식/유흥,남성,40대,1115246
20200621,의료,남성,60대이상,16850
20150729,편의점,여성,60대이상,18713
20150727,백화점/상품권/아울렛,여성,20대,41929
20190608,교육/학원,여성,30대,44274
20150519,의료,여성,60대이상,77695
20190515,가전/가구,남성,30대,86309
20200504,백화점/상품권/아울렛,남성,20대,25517
20200507,백화점/상품권/아울렛,남성,40대,55940
20190629,의료,여성,50대,143140
20190711,의료,남성,50대,201369
20150715,가정생활/서비스,여성,60대이상,688
20200502,가정생활/서비스,남성,50대,2426
20190523,자동차,여성,50대,20430
20200713,의료,남성,60대이상,242684
20200614,교육/학원,여성,50대,11867
20150614,여행/교통,여성,30대,33601
20200518,교육/학원,여성,30대,49482
20150609,편의점,남성,20대,198772
20150706,미용,남성,20대,12309
20150601,의료,남성,50대,175302
20200727,할인점/마트,여성,40대,575778
20200527,여행/교통,여성,60대이상,9944
20200715,주유,여성,20대,15654
20190703,편의점,남성,60대이상,80344
20200705,의료,남성,40대,51494
20150626,백화점/상품권/아울렛,여성,20대,54153
20200520,자동차,남성,60대이상,24281
20150510,여행/교통,남성,40대,65719
20150507,자동차,여성,60대이상,3432
20200629,주유,여성,40대,78392
20190519,주유,여성,40대,82209
20190729,의료,여성,20대,106642
20150614,미용,여성,20대,42153
20150529,백화점/상품권/아울렛,남성,50대,39995
20200527,편의점,남성,30대,703915
20190522,가전/가구,남성,30대,29655
20200715,가정생활/서비스,여성,20대,423
20200605,가전/가구,남성,20대,10354
20200621,가전/가구,남성,50대,26508
20150525,가정생활/서비스,여성,30대,780
20190505,가전/가구,여성,60대이상,10879
20190524,자동차,여성,40대,29376
20200720,미용,여성,40대,35502
20190715,할인점/마트,여성,60대이상,298214
20200601,자동차,남성,20대,14098
20200602,가전/가구,남성,30대,28885
20200620,스포츠/문화/레저,여성,40대,69597
20200607,요식/유흥,여성,40대,671475
20200710,할인점/마트,남성,20대,96934
20150731,요식/유흥,여성,40대,788158
20150603,백화점/상품권/아울렛,여성,20대,38465
20190625,의료,여성,20대,93996
20150610,편의점,남성,30대,358806
20190512,스포츠/문화/레저,여성,20대,64944
20190513,자동차,남성,20대,13166
20150720,백화점/상품권/아울렛,남성,60대이상,6086
20150621,가전/가구,여성,20대,8108
20150609,자동차,남성,40대,28927
20150531,할인점/마트,여성,50대,438223
20150713,백화점/상품권/아울렛,여성,50대,64064
20200513,의료,여성,20대,98664
20200620,스포츠/문화/레저,남성,30대,122030
20190501,백화점/상품권/아울렛,여성,60대이상,61898
20190616,미용,여성,50대,29328
20150714,의료,남성,40대,181132
20150719,가전/가구,남성,20대,6593
20190520,할인점/마트,남성,60대이상,257694
20150622,백화점/상품권/아울렛,여성,30대,84122
20150704,편의점,남성,40대,216494
20200617,패션/잡화,여성,30대,30617
20150602,주유,남성,50대,122720
20190611,가전/가구,남성,30대,27671
20190712,할인점/마트,여성,40대,714155
20150716,미용,여성,60대이상,9914
20190609,요식/유흥,여성,50대,551385
20150510,미용,남성,50대,18221
20200605,의료,남성,50대,254300
20190504,할인점/마트,남성,20대,179503
20190706,주유,남성,30대,208726
20150616,여행/교통,남성,20대,16216
20190730,미용,여성,40대,57245
20190514,여행/교통,여성,20대,27421
20200724,가전/가구,여성,60대이상,22238
20200708,가전/가구,남성,30대,23388
20200517,가전/가구,여성,40대,27908
20150724,할인점/마트,여성,60대이상,169368
20190603,가전/가구,여성,60대이상,18538
20190515,주유,남성,20대,48555
20200513,가전/가구,여성,50대,32956
20150530,백화점/상품권/아울렛,여성,30대,194273
20190730,주유,남성,60대이상,114895
20190516,편의점,남성,60대이상,79780
20200511,의료,여성,30대,267564
20190526,스포츠/문화/레저,여성,50대,70768
20190626,주유,여성,40대,94249
20190724,가전/가구,여성,30대,20115
20200709,편의점,남성,20대,299025
20200509,가전/가구,여성,20대,15669
20190609,자동차,여성,30대,16822
20190705,가전/가구,남성,40대,65232
20190621,편의점,여성,50대,184772
20150503,패션/잡화,남성,30대,47428
20190727,가전/가구,여성,60대이상,16055
20200617,스포츠/문화/레저,여성,30대,27512
20150508,여행/교통,남성,50대,41765
20150619,가전/가구,여성,20대,9259
20150512,가정생활/서비스,여성,30대,1215
20200706,백화점/상품권/아울렛,남성,30대,37791
20200701,교육/학원,남성,30대,22565
20190626,미용,남성,40대,38773
20190612,자동차,남성,50대,38337
20150630,요식/유흥,남성,50대,401518
20150530,여행/교통,남성,40대,65974
20190712,편의점,남성,40대,612268
20200529,요식/유흥,여성,60대이상,182696
20200702,백화점/상품권/아울렛,여성,20대,26539
20190526,스포츠/문화/레저,여성,60대이상,23291
20200603,교육/학원,여성,20대,12231
20200717,자동차,남성,30대,41184
20150627,자동차,남성,60대이상,7975
20200503,스포츠/문화/레저,남성,60대이상,32561
20200516,의료,여성,20대,108731
20150625,의료,남성,50대,120253
20200622,주유,남성,50대,192394
20190507,교육/학원,남성,30대,42453
20150622,패션/잡화,남성,20대,9106
20200608,요식/유흥,여성,40대,658235
20190725,의료,여성,30대,227227
20190511,여행/교통,남성,30대,97892
20150515,스포츠/문화/레저,여성,50대,51141
20190712,자동차,남성,40대,53018
20200531,가정생활/서비스,남성,30대,2465
20190725,가전/가구,남성,30대,64249
20200702,편의점,여성,50대,199578
20190609,패션/잡화,여성,20대,32871
20150618,가정생활/서비스,남성,60대이상,1012
20190521,주유,여성,50대,88176
20150730,의료,남성,30대,180832
20190711,편의점,여성,30대,297728
20190522,백화점/상품권/아울렛,여성,50대,89775
20150727,미용,남성,20대,13754
20150728,교육/학원,여성,40대,79987
20150627,미용,남성,20대,25188
20190706,요식/유흥,여성,60대이상,223549
20150721,요식/유흥,여성,30대,597807
20200513,가정생활/서비스,여성,30대,13447
20200526,백화점/상품권/아울렛,남성,60대이상,19769
20200602,요식/유흥,남성,60대이상,293184
20150525,패션/잡화,남성,30대,48930
20150505,교육/학원,남성,40대,47108
20150501,가정생활/서비스,남성,30대,1816
20200719,의료,여성,40대,31759
20150704,주유,여성,50대,75246
20190704,가정생활/서비스,남성,40대,4760
20150710,백화점/상품권/아울렛,여성,60대이상,38021
20200614,교육/학원,남성,20대,6637
20150628,여행/교통,남성,40대,55011
20150603,가정생활/서비스,남성,60대이상,821
20150717,미용,여성,20대,55939
20190616,주유,여성,20대,27936
20190623,미용,남성,40대,59121
20150501,자동차,남성,50대,22113
20190611,스포츠/문화/레저,여성,20대,43850
20200616,할인점/마트,여성,50대,482915
20200714,교육/학원,남성,30대,16663
20200620,백화점/상품권/아울렛,남성,50대,72035
20200618,교육/학원,여성,20대,11094
20150707,편의점,여성,50대,74640
20150516,가전/가구,남성,60대이상,12456
20190520,할인점/마트,여성,50대,545273
20200730,스포츠/문화/레저,남성,50대,71038
20150502,스포츠/문화/레저,여성,30대,136837
20190713,미용,여성,40대,78812
20190503,주유,남성,20대,53763
20190726,여행/교통,남성,50대,63011
20150715,패션/잡화,여성,30대,49128
20190518,스포츠/문화/레저,여성,60대이상,26888
20150618,자동차,남성,40대,27566
20150523,여행/교통,남성,40대,101380
20190513,요식/유흥,여성,60대이상,196424
20150628,교육/학원,남성,50대,12057
20190714,편의점,남성,60대이상,72583
20150514,교육/학원,남성,20대,5324
20150729,스포츠/문화/레저,남성,30대,100376
20150612,자동차,여성,40대,13748
20200522,요식/유흥,여성,40대,759916
20200602,여행/교통,여성,60대이상,9317
20190705,백화점/상품권/아울렛,남성,20대,22510
20200522,가정생활/서비스,여성,40대,1873
20200603,요식/유흥,여성,50대,461520
20200710,요식/유흥,남성,50대,784290
20200718,스포츠/문화/레저,여성,30대,66038
20200506,스포츠/문화/레저,남성,40대,66599
20150616,주유,여성,40대,92992
20190701,편의점,남성,20대,387215
20150619,스포츠/문화/레저,남성,50대,47813
20190504,교육/학원,남성,30대,35710
20200703,의료,남성,30대,160344
20190503,스포츠/문화/레저,남성,60대이상,33559
20150611,할인점/마트,남성,60대이상,152689
20190626,자동차,여성,20대,6710
20190701,할인점/마트,여성,20대,171689
20200726,가전/가구,남성,20대,5322
20200718,교육/학원,여성,30대,28411
20200701,주유,남성,30대,118710
20200606,요식/유흥,남성,50대,897747
20200619,스포츠/문화/레저,남성,60대이상,30539
20190704,요식/유흥,남성,20대,427625
20150616,할인점/마트,여성,60대이상,169738
20200615,스포츠/문화/레저,남성,50대,58823
20200517,미용,남성,40대,62804
20190509,교육/학원,여성,60대이상,5611
20190629,백화점/상품권/아울렛,여성,30대,213857
20200503,백화점/상품권/아울렛,여성,40대,182945
20190606,패션/잡화,남성,30대,36780
20150501,패션/잡화,여성,20대,57730
20190702,가정생활/서비스,남성,30대,4870
20150622,자동차,남성,50대,23821
20150704,패션/잡화,여성,40대,80856
20150629,할인점/마트,여성,60대이상,173833
20190720,패션/잡화,여성,50대,41775
20190516,백화점/상품권/아울렛,여성,20대,48704
20150522,여행/교통,여성,60대이상,7766
20150725,스포츠/문화/레저,남성,60대이상,18851
20200610,미용,남성,40대,38392
20200630,여행/교통,남성,20대,16256
20200510,요식/유흥,남성,50대,619583
20150727,가전/가구,여성,50대,35287
20150613,주유,남성,60대이상,57364
20200701,의료,여성,50대,203078
20150625,주유,여성,50대,68842
20150504,여행/교통,남성,60대이상,13223
20200601,패션/잡화,여성,60대이상,22024
20190730,요식/유흥,남성,60대이상,294952
20200518,패션/잡화,여성,60대이상,19453
20200523,백화점/상품권/아울렛,남성,40대,171168
20200525,할인점/마트,여성,20대,150497
20190627,백화점/상품권/아울렛,남성,20대,17984
20150517,가전/가구,남성,60대이상,7337
20150602,백화점/상품권/아울렛,남성,40대,52270
20150712,패션/잡화,남성,30대,36682
20150501,가전/가구,여성,40대,33227
20200526,교육/학원,남성,30대,41461
20190615,가전/가구,남성,50대,39829
20200606,패션/잡화,남성,40대,56273
20190515,편의점,남성,60대이상,78453
20190729,미용,남성,60대이상,8994
20200705,편의점,여성,50대,180429
20150618,할인점/마트,여성,50대,440498
20200623,할인점/마트,남성,30대,449221
20150701,의료,남성,60대이상,85435
20200513,스포츠/문화/레저,여성,30대,30801
20200621,백화점/상품권/아울렛,여성,20대,69933
20200614,백화점/상품권/아울렛,남성,40대,178851
20150521,주유,남성,60대이상,56362
20190711,패션/잡화,남성,60대이상,11955
20200530,여행/교통,여성,40대,38399
20200607,백화점/상품권/아울렛,남성,30대,161637
20190524,주유,남성,20대,56068
20190701,미용,여성,60대이상,16524
20150717,백화점/상품권/아울렛,남성,20대,18294
20190720,스포츠/문화/레저,여성,20대,68471
20190729,요식/유흥,남성,60대이상,286034
20200623,자동차,여성,20대,7669
20200709,주유,남성,40대,195265
20200620,교육/학원,남성,30대,25270
20150526,스포츠/문화/레저,여성,30대,44993
20200723,교육/학원,여성,50대,17926
20150521,교육/학원,남성,20대,5120
20190609,자동차,여성,20대,6545
20200511,패션/잡화,여성,50대,29515
20190714,할인점/마트,남성,20대,134755
20150704,요식/유흥,남성,60대이상,156465
20200723,여행/교통,여성,30대,28659
20150503,의료,남성,60대이상,6999
20150508,스포츠/문화/레저,남성,40대,75401
20200615,의료,여성,50대,239530
20200618,의료,여성,40대,223493
20200728,할인점/마트,여성,30대,353090
20200530,가전/가구,남성,60대이상,30181
20150608,백화점/상품권/아울렛,여성,40대,74151
20200615,백화점/상품권/아울렛,남성,20대,14771
20200605,가정생활/서비스,남성,60대이상,1004
20200718,자동차,남성,40대,57842
20150621,주유,여성,50대,67671
20190614,가정생활/서비스,여성,30대,1062
20150714,편의점,여성,40대,123023
20200604,미용,남성,60대이상,13336
20190514,편의점,여성,30대,315060
20200628,가전/가구,여성,40대,24597
20200614,주유,여성,20대,24995
20150612,가정생활/서비스,남성,50대,973
20150503,자동차,여성,60대이상,755
20150618,할인점/마트,여성,30대,471466
20150704,백화점/상품권/아울렛,여성,40대,184384
20150507,여행/교통,남성,20대,17934
20150620,여행/교통,여성,60대이상,5412
20200710,주유,남성,50대,187937
20150722,의료,남성,30대,179206
20190718,가전/가구,남성,60대이상,20272
20190730,스포츠/문화/레저,남성,60대이상,29161
20200725,편의점,남성,60대이상,123721
20190516,미용,여성,40대,59339
20200531,백화점/상품권/아울렛,남성,40대,173097
20190630,패션/잡화,여성,30대,42057
20190606,여행/교통,남성,30대,98023
20150708,편의점,여성,50대,74721
20150514,자동차,남성,30대,25283
20200627,자동차,남성,20대,17781
20190614,요식/유흥,남성,40대,1165591
20150627,할인점/마트,여성,40대,807480
20190716,미용,남성,60대이상,7762
20200520,가전/가구,여성,50대,41512
20190624,백화점/상품권/아울렛,여성,40대,105977
20200522,스포츠/문화/레저,남성,20대,76786
20200610,자동차,여성,50대,19855
20150711,가전/가구,여성,60대이상,9795
20200613,교육/학원,남성,50대,22377
20190708,미용,남성,20대,19884
20200519,가정생활/서비스,남성,60대이상,1083
20190513,주유,남성,60대이상,105376
20150630,백화점/상품권/아울렛,여성,60대이상,29817
20150501,가정생활/서비스,남성,50대,1662
20190725,교육/학원,남성,50대,28311
20150708,여행/교통,남성,50대,31103
20190706,패션/잡화,남성,30대,38518
20190701,스포츠/문화/레저,남성,40대,84780
20150626,주유,남성,50대,132138
20150621,할인점/마트,여성,30대,530775
20200708,자동차,여성,40대,24127
20190717,교육/학원,여성,50대,21619
20190527,주유,남성,30대,147887
20190615,미용,여성,60대이상,16622
20200712,패션/잡화,여성,30대,25728
20150605,자동차,남성,40대,28062
20200606,주유,여성,30대,60668
20190708,교육/학원,남성,30대,34013
20150501,의료,여성,30대,176922
20150530,할인점/마트,여성,40대,745257
20150712,스포츠/문화/레저,남성,40대,140210
20150504,편의점,여성,20대,134652
20200601,가정생활/서비스,여성,50대,1996
20190520,의료,남성,60대이상,223335
20150506,스포츠/문화/레저,남성,50대,42916
20200608,자동차,남성,30대,42719
20200617,교육/학원,남성,40대,55735
20150702,할인점/마트,남성,50대,326514
20200510,편의점,남성,40대,469470
20200516,편의점,남성,20대,398162
20200512,가전/가구,남성,60대이상,24586
20150504,스포츠/문화/레저,여성,20대,48604
20200625,할인점/마트,여성,50대,479653
20200711,가정생활/서비스,여성,30대,10113
20200717,미용,남성,60대이상,12030
20150504,자동차,여성,30대,16489
20190502,교육/학원,남성,20대,8183
20200719,할인점/마트,남성,40대,793287
20150711,자동차,여성,20대,4604
20150608,패션/잡화,여성,50대,34523
20200617,의료,남성,20대,47013
20200702,가정생활/서비스,남성,60대이상,1286
20200711,주유,남성,20대,41297
20190514,의료,남성,30대,257220
20190705,미용,남성,50대,30468
20200512,가전/가구,남성,50대,38297
20150606,할인점/마트,남성,40대,810762
20150509,할인점/마트,남성,20대,152003
20190725,여행/교통,여성,40대,57546
20190504,의료,남성,30대,236483
20190629,요식/유흥,남성,60대이상,299239
20190630,가전/가구,여성,30대,19935
20200508,편의점,남성,50대,289380
20190609,할인점/마트,여성,20대,147786
20200622,패션/잡화,남성,40대,21374
20190718,교육/학원,남성,60대이상,6067
20200626,스포츠/문화/레저,여성,30대,37596
20200504,할인점/마트,여성,40대,628658
20200713,미용,남성,40대,25316
20190722,백화점/상품권/아울렛,남성,40대,63642
20190611,할인점/마트,여성,50대,547664
20190606,가정생활/서비스,남성,50대,1292
20190517,편의점,남성,50대,297634
20200701,여행/교통,남성,30대,39747
20150627,스포츠/문화/레저,여성,30대,103078
20150622,교육/학원,남성,20대,5984
20200515,교육/학원,남성,20대,6081
20150518,가전/가구,남성,50대,30358
20190713,가정생활/서비스,남성,50대,1996
20150504,백화점/상품권/아울렛,남성,20대,26382
20150526,스포츠/문화/레저,남성,60대이상,18675
20190514,의료,여성,60대이상,179094
20200503,패션/잡화,남성,50대,22798
20150620,가정생활/서비스,여성,40대,1825
20150609,자동차,여성,40대,13685
20200716,교육/학원,여성,50대,21449
20150516,요식/유흥,여성,40대,785271
20200731,편의점,남성,30대,707159
20200613,주유,여성,30대,61805
20190530,자동차,여성,20대,7247
20200703,가정생활/서비스,남성,50대,1551
20200514,패션/잡화,남성,40대,26831
20190708,자동차,남성,40대,50895
20190721,백화점/상품권/아울렛,여성,50대,116081
20150523,의료,남성,60대이상,56043
20190618,자동차,남성,40대,49528
20200709,의료,남성,20대,29809
20190502,스포츠/문화/레저,여성,30대,58646
20190612,백화점/상품권/아울렛,여성,60대이상,49174
20190704,의료,남성,60대이상,169173
20190704,가전/가구,여성,30대,20827
20150612,여행/교통,남성,50대,35025
20190623,백화점/상품권/아울렛,여성,20대,89468
20200707,자동차,여성,60대이상,11652
20200514,주유,남성,60대이상,107101
20150728,스포츠/문화/레저,여성,30대,88843
20200530,여행/교통,여성,20대,30260
20150625,의료,여성,50대,130465
20190621,여행/교통,남성,30대,82192
20190502,편의점,남성,30대,675433
20190605,자동차,여성,40대,27954
20150703,요식/유흥,여성,60대이상,101521
20190506,백화점/상품권/아울렛,남성,50대,87850
20190621,자동차,여성,30대,23060
20190605,교육/학원,남성,20대,8019
20190503,주유,남성,30대,193883
20190702,가전/가구,남성,50대,38183
20200716,가전/가구,여성,40대,26782
20190719,가전/가구,남성,40대,40126
20200514,패션/잡화,남성,30대,22742
20150613,의료,남성,40대,180599
20190630,자동차,남성,30대,38307
20200613,편의점,여성,30대,289014
20200721,가전/가구,여성,30대,19104
20190519,가전/가구,여성,60대이상,8390
20190521,자동차,남성,30대,42553
20150522,주유,여성,50대,76232
20150623,요식/유흥,남성,40대,718164
20200607,여행/교통,남성,60대이상,20443
20200615,스포츠/문화/레저,여성,60대이상,21850
20190624,미용,여성,40대,55736
20150707,할인점/마트,남성,40대,495418
20190523,가전/가구,여성,30대,21573
20190628,편의점,여성,20대,281391
20200617,백화점/상품권/아울렛,여성,50대,85746
20200506,교육/학원,남성,30대,24445
20200520,의료,여성,50대,204107
20200507,여행/교통,여성,60대이상,9724
20150525,할인점/마트,남성,30대,705205
20150703,자동차,여성,40대,14561
20190603,가전/가구,여성,50대,35070
20150611,주유,남성,40대,157192
20200724,자동차,남성,30대,38574
20200530,미용,여성,20대,68822
20150708,패션/잡화,여성,20대,29146
20150515,스포츠/문화/레저,여성,40대,73925
20150707,백화점/상품권/아울렛,남성,40대,52493
20200616,백화점/상품권/아울렛,여성,30대,82770
20200607,백화점/상품권/아울렛,남성,40대,184647
20150503,스포츠/문화/레저,여성,40대,133099
20190702,가정생활/서비스,남성,40대,5350
20200623,백화점/상품권/아울렛,여성,30대,81295
20190716,가전/가구,여성,40대,29548
20200518,미용,남성,50대,31162
20200624,가정생활/서비스,여성,60대이상,668
20200614,편의점,여성,50대,153022
20190709,교육/학원,남성,30대,28259
20200725,가전/가구,여성,20대,9972
20150528,요식/유흥,남성,20대,292573
20200618,가정생활/서비스,여성,40대,6805
20200508,주유,여성,50대,76408
20200502,미용,여성,20대,46915
20190517,의료,여성,30대,289256
20190708,백화점/상품권/아울렛,여성,40대,97348
20150531,의료,남성,50대,20605
20190723,주유,남성,20대,49704
20150615,가정생활/서비스,여성,30대,1113
20150622,패션/잡화,여성,30대,41219
20190527,여행/교통,여성,20대,28120
20200513,편의점,여성,40대,237897
20150501,자동차,남성,20대,10028
20150619,스포츠/문화/레저,여성,50대,46636
20150617,여행/교통,남성,30대,45892
20190621,의료,남성,60대이상,182962
20190510,가정생활/서비스,남성,30대,4492
20200707,미용,남성,20대,13067
20190628,가정생활/서비스,남성,20대,425
20190614,패션/잡화,남성,20대,12270
20190513,미용,남성,50대,26035
20150616,스포츠/문화/레저,여성,40대,51533
20200614,요식/유흥,남성,40대,1116822
20200516,스포츠/문화/레저,여성,60대이상,21726
20200613,미용,여성,30대,55191
20200615,요식/유흥,남성,40대,925606
20200603,교육/학원,남성,40대,89429
20200710,주유,여성,20대,16517
20200701,가전/가구,남성,60대이상,32842
20190605,스포츠/문화/레저,남성,50대,71974
20190519,가정생활/서비스,남성,20대,303
20200524,자동차,여성,20대,6650
20190509,여행/교통,남성,40대,76586
20200625,스포츠/문화/레저,여성,60대이상,17108
